titre,url,loyer_cc,loyer_hc,surface,pieces,quartier,disponibilite,source
TOULOUSE - SAINT AUBIN,https://www.bienici.com/annonce/location/toulouse-31000/hektor-leserviceimmo-3272,550.0,,19.2,1,Saint-Aubin,2026-03-25,Bien'ici
Studio meublé de 20m² idéalement situé,https://www.bienici.com/annonce/location/toulouse-31000/netty-company35153qdg-appt-5023,550.0,,20.0,1,Matabiau,Immédiat,Bien'ici
Appartement,https://www.bienici.com/annonce/location/toulouse-31000/adapt-immo-312701275,555.0,,16.0,1,Saint-Sernin,Immédiat,Bien'ici
Appartement 25.57m² Les Châlets,https://www.bienici.com/annonce/location/toulouse-31000/ics-pat_PATRIM_AND_CO_loc-GES02900001-918,559.26,,25.57,2,Les Châlets,Immédiat,Bien'ici
"Toulouse 31400  à deux pas du métro et du Tramway Quartier Jardin des plantes palais de justice joli T1 meublé , agréable jardin collectif",https://www.bienici.com/annonce/location/toulouse-31400/nestenn-1-99939132211,560.0,,21.84,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
St Michel T1 meublé,https://www.bienici.com/annonce/location/toulouse-31400/netty-company39199eay-appt-3528,560.0,,17.4,1,Saint-Michel,2026-02-26,Bien'ici
TOULOUSE - SAINT AUBIN,https://www.bienici.com/annonce/location/toulouse-31000/hektor-leserviceimmo-3273,565.0,,28.5,1,Saint-Aubin,2026-05-12,Bien'ici
STUDIO 25 m² - TOULOUSE JEANNE D'ARC,https://www.bienici.com/annonce/location/toulouse-31000/apimo-6050318,569.0,534.0,25.38,1,Saint-Sernin,Immédiat,Bien'ici
Appartement 25.98m² Matabiau,https://www.bienici.com/annonce/location/toulouse-31000/ics-com_COMPTOIR_loc-GES04110046-430,575.0,,25.98,1,Matabiau,Immédiat,Bien'ici
T2 non meublé,https://www.bienici.com/annonce/location/toulouse-31300/hektor-fitgestion-21901,575.0,,41.2,2,Croix de Pierre,Immédiat,Bien'ici
Studio hypercentre,https://www.bienici.com/annonce/location/toulouse-31000/ag313299-523346717,578.0,540.0,19.0,1,Matabiau,Immédiat,Bien'ici
STUDIO MEUBLE AVEC PARKING,https://www.bienici.com/annonce/location/toulouse-31000/netty-company51444cnh-appt-2614,578.0,,14.72,1,Saint-Sernin,Immédiat,Bien'ici
T1 Bis Meublé Quartier Jean Jaurès,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-523429604,580.0,540.0,21.0,1,Saint-Aubin,2026-05-03,Bien'ici
"GRAND ROND, superbe studio meublé de 20 M²",https://www.bienici.com/annonce/location/toulouse-31000/apimo-2320803,580.0,580.0,20.0,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
"T1 meublé de 22.50 m2 au 1er étage, Les Abattoirs, prox jardin Raymond  VI",https://www.bienici.com/annonce/location/toulouse-31300/immo-facile-60219388,580.0,,22.4,1,Patte d'Oie - Fontaines,Immédiat,Bien'ici
Studio Quartier les Chalets,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-520235150,585.0,550.0,22.0,1,Les Châlets,2026-03-17,Bien'ici
TOULOUSE SAINT MICHEL - STUDIO MEUBLÈ 16m2 - MÈTRO + TAMWAY,https://www.bienici.com/annonce/location/toulouse-31400/hektor-patrimum-534,585.0,,16.0,1,Saint-Michel,Immédiat,Bien'ici
Studio 38 m² à louer hypercentre Saint-Georges,https://www.bienici.com/annonce/location/toulouse-31000/ag310200-522219092,588.0,500.0,38.0,1,Saint-Georges,Immédiat,Bien'ici
T1 MEUBLE COMPANS CAFARELLI,https://www.bienici.com/annonce/location/toulouse-31000/gedeon-32448307,588.0,,23.0,1,Compans-Caffarelli,2026-02-09,Bien'ici
STUDIO CENTRE-VILLE / 100M METRO,https://www.bienici.com/annonce/location/toulouse-31000/apimo-86824623,595.0,570.0,16.0,1,Saint-Michel,Immédiat,Bien'ici
Location studio meublé dans le quartier SAINT-CYPRIEN à TOULOU,https://www.bienici.com/annonce/location/toulouse-31300/netty-semenadisse-appt-592,595.0,,19.0,1,Saint-Cyprien,2026-04-20,Bien'ici
Appartement 20.84m² Ponts Jumeaux,https://www.bienici.com/annonce/location/toulouse-31200/ics-adl_LAURAGAIS_loc-LAPP115800,600.0,,20.84,1,Ponts Jumeaux,Immédiat,Bien'ici
Appartement T1 meublé - SAINT SERNIN,https://www.bienici.com/annonce/location/toulouse-31000/apimo-86353722,600.0,560.0,18.82,1,Saint-Sernin,Immédiat,Bien'ici
