titre,url,loyer_cc,loyer_hc,surface,pieces,quartier,disponibilite,source
STUDIO MEUBLE SAINT-MICHEL,https://www.bienici.com/annonce/location/toulouse-31400/hektor-SETFIMMOBILIER2022-45712,500.0,,13.0,1,Saint-Michel,2026-03-06,Bien'ici
Appartement 20.83m² Les Carmes-Esquirol,https://www.bienici.com/annonce/location/toulouse-31000/century-21-202_3258_23838,504.88,,20.83,1,Les Carmes-Esquirol,Immédiat,Bien'ici
Charmant Studio Meublé Quartier François Verdier & Place Dupuy,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-508455947,505.0,470.0,17.0,1,Saint-Aubin,2026-02-13,Bien'ici
Appartement 22.42m² Matabiau,https://www.bienici.com/annonce/location/toulouse-31000/ics-adl_LAURAGAIS_loc-GES60500029-937,513.27,,22.42,1,Matabiau,Immédiat,Bien'ici
STUDIO MEUBLE FAC DE DROIT CAPITOLE,https://www.bienici.com/annonce/location/toulouse-31000/netty-taur-appt-4239,515.0,,23.0,1,Saint-Sernin,Immédiat,Bien'ici
Appartement T2 Saint-Michel,https://www.bienici.com/annonce/location/toulouse-31400/immo-facile-60154238,519.0,,29.87,2,Saint-Michel,Immédiat,Bien'ici
Studio,https://www.bienici.com/annonce/location/toulouse-31000/ag310200-514405481,520.0,490.0,20.0,1,Saint-Aubin,Immédiat,Bien'ici
"Toulouse, Quartier Jardin des Plantes-Grand Rond, T1 meublé",https://www.bienici.com/annonce/location/toulouse-31400/hektor-cigec-46235,523.0,,20.15,1,Busca - Jardin des plantes - Port Saint-Sauveur,2025-12-31,Bien'ici
Appartement 24.59m² Patte d'Oie - Fontaines,https://www.bienici.com/annonce/location/toulouse-31300/ics-adl_LAURAGAIS_loc-GES11590003-456,528.13,,24.59,2,Patte d'Oie - Fontaines,Immédiat,Bien'ici
Appartement,https://www.bienici.com/annonce/location/toulouse-31000/adapt-immo-31159339,533.33,,25.0,1,Saint-Aubin,Immédiat,Bien'ici
Appartement 23m² Compans-Caffarelli,https://www.bienici.com/annonce/location/toulouse-31000/ics-sap_SAPHIR_loc-GES00610034,535.0,,23.0,1,Compans-Caffarelli,Immédiat,Bien'ici
Appartement 25.09m² Busca - Jardin des plantes - Port Saint-Sauveur,https://www.bienici.com/annonce/location/toulouse-31400/citya-immobilier-9753-GES71450005-297,535.4100000000001,,25.09,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
Appartement 27.04m² Guilhemery - Bonhoure - La Gloire,https://www.bienici.com/annonce/location/toulouse-31500/ics-adl_LAURAGAIS_loc-GES35260001-937,536.0,,27.04,1,Guilhemery - Bonhoure - La Gloire,Immédiat,Bien'ici
COMPANS T1 meublé -,https://www.bienici.com/annonce/location/toulouse-31000/ag310200-505867550,537.0,500.0,19.0,1,Compans-Caffarelli,Immédiat,Bien'ici
Compans-Caffarelli,https://www.bienici.com/annonce/location/toulouse-31000/ag752345-519350291,540.0,510.0,26.0,1,Compans-Caffarelli,Immédiat,Bien'ici
Studio de 20m² idéalement situé,https://www.bienici.com/annonce/location/toulouse-31000/netty-company35153qdg-appt-5023,550.0,,20.0,1,Matabiau,Immédiat,Bien'ici
Appartement 36.27m² Saint-Michel,https://www.bienici.com/annonce/location/toulouse-31400/ics-adl_LAURAGAIS_loc-GES61060008-457,550.5699999999999,,36.27,1,Saint-Michel,Immédiat,Bien'ici
Studio Quartier Saint Sernin,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-519561716,555.0,530.0,29.0,1,Saint-Sernin,2026-03-18,Bien'ici
Appartement,https://www.bienici.com/annonce/location/toulouse-31000/adapt-immo-312701275,555.0,,16.0,1,Saint-Sernin,Immédiat,Bien'ici
Studio La Terrasse,https://www.bienici.com/annonce/location/toulouse-31500/ag313299-516599336,555.0,420.0,39.0,1,Les Châlets,Immédiat,Bien'ici
Toulouse hyper centre / proximité Capitole  Appartement  T1 meublé : 9 rue du sénéchal - 31000 Toulouse,https://www.bienici.com/annonce/location/toulouse-31000/immo-facile-60027778,556.0,,16.0,1,Capitole,Immédiat,Bien'ici
"Toulouse 31400  à deux pas du métro et du Tramway Quartier Jardin des plantes palais de justice joli T1 meublé , agréable jardin collectif",https://www.bienici.com/annonce/location/toulouse-31400/nestenn-1-99939132211,560.0,,21.84,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
St Michel T1 meublé,https://www.bienici.com/annonce/location/toulouse-31400/netty-company39199eay-appt-3528,560.0,,17.4,1,Saint-Michel,2026-02-26,Bien'ici
"Appartement T1bis, Toulouse Saint-Michel : 570EUR CC",https://www.bienici.com/annonce/location/toulouse-31400/hektor-linstantimmobilier-160,570.0,,34.59,1,Saint-Michel,Immédiat,Bien'ici
STUDIO MEUBLE AVEC PARKING,https://www.bienici.com/annonce/location/toulouse-31000/netty-company51444cnh-appt-2614,578.0,,14.72,1,Saint-Sernin,Immédiat,Bien'ici
"T1 meublé de 22.50 m2 au 1er étage, Les Abattoirs, prox jardin Raymond  VI",https://www.bienici.com/annonce/location/toulouse-31300/immo-facile-60219388,580.0,,22.4,1,Patte d'Oie - Fontaines,Immédiat,Bien'ici
Studio Quartier les Chalets,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-520235150,585.0,550.0,22.0,1,Les Châlets,2026-03-17,Bien'ici
T1 MEUBLE COMPANS CAFARELLI,https://www.bienici.com/annonce/location/toulouse-31000/gedeon-32448307,588.0,,23.0,1,Compans-Caffarelli,2026-02-09,Bien'ici
Studio de 19m² loué meublé,https://www.bienici.com/annonce/location/toulouse-31200/nockee-prop_ad_02wnsKPhRursEGgytE05kY,590.0,,19.2,1,Patte d'Oie - Fontaines,2026-07-03,Bien'ici
Appartement 36.98m² Saint-Michel,https://www.bienici.com/annonce/location/toulouse-31400/ics-adl_LAURAGAIS_loc-GES60960020-937,594.53,,36.98,1,Saint-Michel,Immédiat,Bien'ici
"Appartement T1 - 16,64 m2",https://www.bienici.com/annonce/location/toulouse-31400/hektor-patrimum-506,595.0,,16.64,1,Saint-Michel,Immédiat,Bien'ici
Appartement,https://www.bienici.com/annonce/location/toulouse-31200/adapt-immo-310459229,595.0,,27.0,1,Ponts Jumeaux,Immédiat,Bien'ici
Magnifique Studio meublé 23 m2 refait à neuf quartier Pont J,https://www.bienici.com/annonce/location/toulouse-31000/hektor-laplateforme_Toulouse-1464,595.0,,23.01,1,Compans-Caffarelli,2021-01-07,Bien'ici
T1 bis PATTE D'OIE,https://www.bienici.com/annonce/location/toulouse-31300/ag314203-520962743,598.0,558.0,28.0,1,Patte d'Oie - Fontaines,2023-07-10,Bien'ici
Appartement 20.84m² Ponts Jumeaux,https://www.bienici.com/annonce/location/toulouse-31200/ics-adl_LAURAGAIS_loc-LAPP115800,600.0,,20.84,1,Ponts Jumeaux,Immédiat,Bien'ici
TOULOUSE - SAINT CYPRIEN,https://www.bienici.com/annonce/location/toulouse-31300/hektor-leserviceimmo-1633,600.0,,23.0,1,Saint-Cyprien,2026-03-18,Bien'ici
Location studio meublé dans le quartier SAINT-CYPRIEN à TOULOU,https://www.bienici.com/annonce/location/toulouse-31300/netty-semenadisse-appt-592,600.0,,19.0,1,Saint-Cyprien,2026-04-20,Bien'ici
